代码,名称,market,最新价,涨跌幅,涨跌额,总手,现手,买入价,卖出价,昨收,换手率,成交额,市盈率,上移
09988HK,阿里巴巴-W,HK,122.6,0.91%,1.1,3454万,100,122.6,122.7,121.5,0.18%,42.55亿,17.91,
00700HK,腾讯控股,HK,495,-0.60%,-3,680.4万,100,494.8,495,498,0.07%,33.87亿,21.7,
00981HK,中芯国际,HK,42.1,-6.76%,-3.05,1.375亿,500,42.1,42.15,45.15,2.29%,58.04亿,71.14,
00941HK,中国移动,HK,83.25,-0.30%,-0.25,930.9万,5000,83.25,83.3,83.5,0.05%,7.768亿,11.98,
00386HK,中国石油化工...,HK,3.99,0.50%,0.02,2445万,4000,3.98,3.99,3.97,0.10%,9745万,10.22,
09901HK,新东方-S,HK,36.25,-1.89%,-0.7,146.6万,1200,36.2,36.25,36.95,2.14%,5325万,19.71,
03032HK,恒生科技ETF,HK,5.105,-1.73%,-0.09,882.3万,5400,5.1,5.11,5.195,—,4542万,—,
01797HK,东方甄选,HK,12.12,-2.57%,-0.32,253.6万,500,12.1,12.12,12.44,0.24%,3092万,8.38,
01918HK,融创中国,HK,1.4,-4.11%,-0.06,1.210亿,20.00万,1.39,1.4,1.46,1.13%,1.707亿,-0.54,
09626HK,哔哩哔哩-W,HK,136.3,-1.52%,-2.1,106.2万,40,136.2,136.3,138.4,0.31%,1.458亿,-39.48,
06099HK,招商证券,HK,12.04,-2.11%,-0.26,393.7万,7000,12.02,12.06,12.3,0.31%,4768万,9.24,
600999,招商证券,SH,16.57,-1.07%,-0.18,10.45万,10,16.57,16.58,16.75,0.14%,1.737亿,15.61,
01398HK,工商银行,HK,5.48,1.11%,0.06,8707万,4000,5.47,5.48,5.42,0.10%,4.754亿,5.01,
03968HK,招商银行,HK,46.1,1.99%,0.9,1620万,1500,46,46.1,45.2,0.35%,7.405亿,7.33,
02202HK,万科企业,HK,5.21,-2.25%,-0.12,1554万,1400,5.2,5.21,5.33,0.70%,8142万,-1.04,
06030HK,中信证券,HK,19.64,-1.21%,-0.24,283.7万,1500,19.62,19.64,19.88,0.11%,5607万,11.62,
600031,三一重工,SH,19.62,1.08%,0.21,25.71万,10,19.62,19.63,19.41,0.30%,5.038亿,16.82,
01810HK,小米集团-W,HK,50.7,-0.20%,-0.1,4913万,200,50.7,50.75,50.8,0.23%,25.01亿,51.49,
00300HK,美的集团,HK,75.25,0.80%,0.6,150.8万,100,75.2,75.25,74.65,0.23%,1.136亿,12.77,
09868HK,小鹏汽车-W,HK,74.55,-2.04%,-1.55,508.8万,600,74.5,74.55,76.1,0.33%,3.827亿,-22.7,
